Descriptor #0: x=116.191 y=41.2263 descriptor=(0,0,1,2,58,86,3,0,66,5,0,0,41,30,2,4,157,11,0,0,0,0,0,7,23,2,1,1,0,0,0,0,0,0,0,0,113,123,0,0,75,1,0,0,86,62,0,3,157,8,0,0,3,2,0,6,30,1,0,0,0,0,1,2,0,0,0,0,120,104,0,0,57,4,0,6,145,64,0,1,157,21,0,1,10,2,0,4,36,1,0,0,0,0,1,2,0,0,0,0,61,58,0,0,32,1,0,6,136,113,2,4,157,14,0,1,8,10,2,8,34,2,0,0,0,0,0,0,)
Descriptor #1: x=112.698 y=79.7867 descriptor=(28,10,2,5,58,12,2,13,140,26,1,0,28,4,1,7,26,12,3,1,127,21,2,2,1,105,55,3,12,4,2,1,29,19,7,9,92,13,0,6,140,33,2,0,26,3,0,5,46,2,0,0,140,25,3,0,0,1,1,1,26,11,5,1,32,6,1,7,105,35,1,14,140,16,0,0,20,3,0,23,52,2,0,1,140,22,0,2,0,0,0,2,32,9,1,0,11,8,1,1,63,140,33,20,140,29,0,0,8,10,69,117,31,5,0,0,74,76,72,18,0,0,0,0,16,28,71,2,)
Descriptor #2: x=104.986 y=81.037 descriptor=(3,37,125,101,2,0,0,1,42,153,97,1,0,0,0,0,13,153,43,0,0,0,0,0,1,81,47,1,1,0,0,0,19,8,4,9,17,1,1,8,149,39,2,1,3,0,0,11,24,153,66,11,25,1,0,1,3,153,85,1,2,0,1,2,20,5,1,2,15,3,2,12,153,3,0,0,9,0,0,10,21,15,8,4,89,7,0,1,1,153,40,0,7,2,2,1,17,6,1,2,11,1,0,6,123,4,0,0,7,0,0,5,16,0,0,1,73,2,0,0,0,3,1,0,8,1,1,0,)
Descriptor #3: x=129.266 y=81.0063 descriptor=(0,1,49,86,6,3,1,0,6,17,77,137,51,0,0,0,2,6,16,85,137,10,2,0,54,29,29,10,3,1,2,10,7,2,25,137,32,5,4,5,137,42,50,96,38,5,0,20,25,5,1,4,137,33,8,2,75,10,1,1,7,7,10,11,16,4,3,136,10,1,1,6,137,22,0,6,31,1,0,13,33,6,7,16,137,9,0,1,61,24,19,5,13,3,1,4,12,5,2,6,4,5,5,7,137,17,0,1,16,3,0,1,33,3,1,6,137,18,0,1,57,17,6,6,25,1,0,11,)
Descriptor #4: x=129.266 y=81.0063 descriptor=(24,1,0,12,57,17,6,6,137,17,0,1,33,3,1,6,17,3,0,1,137,16,0,1,4,5,5,7,12,5,2,6,13,3,1,4,61,23,19,5,137,8,0,1,32,6,7,16,32,1,0,14,137,21,0,6,10,1,1,7,16,4,3,134,7,7,10,11,75,10,1,1,137,32,8,2,25,5,1,5,38,5,0,21,137,41,51,96,31,5,4,5,7,2,26,137,3,1,2,10,53,29,29,10,137,9,2,0,2,6,16,86,50,0,0,0,7,17,78,137,6,3,2,0,0,1,49,86,)
Descriptor #5: x=121.045 y=90.035 descriptor=(10,0,1,0,0,0,51,104,48,0,0,0,0,15,48,116,2,0,0,0,0,97,106,18,8,2,1,0,0,28,83,12,42,20,5,3,1,2,22,86,116,22,4,2,0,6,12,116,11,10,19,7,2,68,90,21,0,3,4,0,0,48,116,1,78,90,30,32,8,3,1,17,116,98,17,22,18,3,1,26,11,79,116,54,36,10,6,5,1,68,116,5,1,8,16,2,100,4,0,3,9,17,1,58,116,5,0,2,47,12,2,52,17,10,10,6,101,39,2,19,8,20,32,4,12,15,7,13,)
Descriptor #6: x=42.6587 y=91.411 descriptor=(139,21,0,0,0,0,0,1,149,49,0,0,0,0,0,5,125,60,0,0,0,0,0,3,23,53,5,8,2,0,0,0,149,4,0,0,0,0,0,10,149,10,0,0,0,0,0,40,130,25,0,0,0,0,0,23,48,30,3,9,11,0,0,0,149,3,0,0,0,0,0,11,149,35,0,0,0,0,0,13,102,41,0,0,0,0,0,24,37,14,1,2,5,4,3,24,146,4,0,0,0,0,0,7,149,16,0,0,0,0,0,14,118,3,0,0,0,0,0,57,13,0,0,0,0,0,6,54,)
Descriptor #7: x=139.448 y=104.438 descriptor=(143,27,16,15,3,0,0,10,58,99,35,17,2,0,0,1,34,22,0,0,1,4,2,3,0,0,0,0,0,6,3,0,143,36,22,24,33,2,2,31,143,54,21,22,29,2,1,35,111,8,0,0,3,3,1,17,0,0,0,0,3,8,1,0,42,143,143,12,3,0,0,2,143,79,39,10,3,0,0,36,121,7,0,0,1,4,3,15,0,0,0,0,0,9,5,0,130,67,42,0,0,4,30,27,143,19,3,0,0,0,1,132,47,0,0,0,0,5,25,47,0,0,0,0,0,12,23,0,)
Descriptor #8: x=66.6952 y=108.072 descriptor=(14,14,11,21,4,1,0,2,146,46,0,0,0,0,0,7,146,50,0,0,0,0,0,5,14,1,0,0,0,0,2,4,52,36,17,6,0,0,0,0,146,68,0,0,0,0,0,9,146,107,0,0,0,0,0,14,34,5,0,0,0,1,2,3,82,50,7,0,0,0,0,0,146,28,0,0,0,0,0,85,146,24,0,0,0,0,0,109,32,5,3,3,7,2,1,4,50,52,3,0,0,0,0,0,146,73,0,0,0,0,0,12,146,131,1,0,0,0,0,14,26,39,3,1,1,2,0,1,)
Descriptor #9: x=50.5494 y=113.974 descriptor=(111,10,0,0,0,0,0,13,155,16,0,0,0,0,0,42,116,53,22,3,0,0,0,22,9,65,49,0,0,0,0,0,114,2,0,0,0,0,6,33,155,6,0,3,3,0,0,41,62,18,62,72,46,0,0,5,18,103,138,22,5,0,0,0,127,7,0,0,0,0,0,21,155,36,2,5,4,0,0,17,34,20,6,43,119,14,0,0,25,61,14,14,46,9,0,0,99,5,0,0,0,0,0,14,155,34,1,0,0,0,0,8,24,17,5,17,64,6,0,0,7,10,1,8,61,12,0,0,)
Descriptor #10: x=129.786 y=116.578 descriptor=(60,100,42,8,4,2,6,3,19,18,33,29,6,12,13,4,1,23,26,1,0,24,28,1,0,1,0,0,0,37,53,1,116,51,18,21,33,13,2,40,33,45,116,116,56,10,0,4,114,116,100,23,4,1,1,6,13,26,80,35,3,6,5,1,27,2,0,3,32,32,43,107,24,5,6,27,116,116,22,40,116,31,8,14,26,23,12,97,28,23,55,77,100,13,0,7,37,31,6,10,29,5,8,21,4,4,7,13,76,53,26,26,27,4,1,1,35,13,25,94,15,0,0,4,116,39,8,22,)
Descriptor #11: x=121.754 y=117.813 descriptor=(51,14,18,28,23,13,1,16,15,7,15,23,38,59,38,31,31,2,7,43,89,19,18,43,0,0,0,23,93,44,21,3,46,32,51,110,33,4,2,9,127,56,48,53,14,2,1,23,42,2,0,42,127,21,3,18,0,6,17,29,52,10,11,2,28,7,1,50,127,61,26,24,127,67,7,27,28,9,13,29,34,23,9,82,127,9,0,3,1,8,32,96,76,3,0,0,3,2,6,3,57,112,45,7,45,13,1,9,28,41,91,57,6,6,3,92,118,6,3,5,1,1,2,25,71,28,9,19,)
Descriptor #12: x=299.751 y=121.405 descriptor=(147,9,0,0,0,0,0,12,147,2,0,0,1,2,2,46,11,11,19,2,4,14,9,7,45,26,6,0,0,2,2,5,147,1,0,0,0,0,0,45,147,6,0,1,1,5,11,55,18,2,1,10,37,47,26,17,56,3,0,0,6,6,3,42,147,23,0,0,0,0,0,11,147,79,24,8,1,0,0,8,35,23,42,55,27,3,0,13,78,0,0,2,3,0,2,101,147,47,0,0,0,0,0,0,76,124,26,1,0,0,0,0,106,36,28,4,0,0,0,46,85,5,0,0,0,0,0,96,)
Descriptor #13: x=150.104 y=132.465 descriptor=(20,2,0,0,10,55,60,31,143,38,0,0,3,6,4,30,128,14,0,8,4,0,0,10,0,0,0,25,20,2,1,11,10,33,11,1,19,37,10,8,143,29,2,1,8,18,9,100,142,17,28,46,3,0,0,17,29,4,9,15,5,0,0,22,20,121,13,0,0,0,1,3,143,143,8,2,0,0,1,22,102,73,27,33,0,0,0,17,62,2,2,1,0,0,0,39,12,55,1,0,3,2,7,6,143,133,0,0,0,0,1,12,143,44,1,0,0,0,0,58,50,2,0,0,0,0,0,16,)
Descriptor #14: x=123.553 y=135.889 descriptor=(70,113,45,8,0,0,1,2,94,127,100,22,1,1,7,6,2,19,127,23,3,6,9,4,1,9,127,20,0,3,12,1,43,126,47,8,0,0,15,30,127,127,45,16,7,16,15,30,23,8,92,13,40,93,25,30,5,7,80,8,6,37,22,36,20,3,0,1,2,2,82,113,127,51,5,6,9,4,23,48,38,19,25,39,56,27,10,19,3,22,49,26,7,19,16,23,23,15,2,4,8,7,17,25,72,50,4,5,8,10,14,26,24,18,16,34,54,17,5,12,15,51,40,46,60,4,0,0,)
Descriptor #15: x=81.2628 y=137.608 descriptor=(129,133,8,4,1,1,0,3,68,143,7,0,31,44,9,7,67,5,0,0,8,25,21,47,11,0,0,0,1,1,0,3,43,116,24,10,0,0,0,6,143,143,8,0,0,2,3,23,82,14,0,0,0,4,16,25,0,0,0,0,1,4,4,2,56,2,2,1,0,0,16,100,143,13,0,0,0,0,0,107,127,12,0,0,0,4,3,5,0,0,0,0,0,3,11,1,25,0,0,0,0,0,20,143,98,2,0,0,0,1,27,143,89,4,0,0,0,0,3,20,0,0,0,0,0,0,11,3,)
