Descriptor #0: x=309.199 y=4.35654 descriptor=(22,2,1,13,57,27,6,19,135,7,0,0,2,4,5,135,47,0,0,20,46,81,15,54,0,0,0,9,19,35,0,0,34,3,1,6,19,71,37,29,135,17,0,0,2,10,7,104,78,9,4,2,15,82,43,40,10,0,0,0,7,48,35,13,31,32,14,42,36,16,4,6,135,135,5,7,7,2,1,17,101,128,45,10,0,3,7,11,44,61,34,2,0,0,8,12,13,23,34,75,13,1,1,1,135,106,9,4,0,0,0,7,90,76,55,31,12,1,0,1,33,72,40,9,3,0,0,0,)
Descriptor #1: x=144.238 y=4.83606 descriptor=(51,25,1,2,6,10,8,7,147,81,0,0,0,0,0,13,68,34,7,23,27,8,5,9,0,0,0,9,18,5,0,0,67,19,6,9,17,8,3,11,147,33,2,0,2,1,1,100,76,22,14,4,48,51,37,78,0,0,1,2,71,47,3,0,48,24,25,5,1,1,0,7,147,143,16,1,0,0,0,13,51,124,147,32,38,8,1,7,0,26,48,26,82,14,0,0,33,15,1,1,0,0,0,5,147,88,5,5,1,0,0,4,32,59,56,83,50,0,0,0,0,23,79,44,16,0,0,0,)
Descriptor #2: x=319.186 y=6.69952 descriptor=(17,73,26,30,17,0,0,0,70,122,38,11,4,1,0,0,9,47,60,45,11,7,4,1,17,54,20,2,0,1,3,2,34,69,33,89,28,1,18,10,90,122,120,5,0,0,2,9,122,57,52,11,3,16,46,62,41,28,10,7,20,35,61,30,11,7,3,19,23,27,76,49,88,26,15,0,5,5,8,70,122,113,23,2,4,4,5,48,68,47,22,10,33,80,49,32,9,5,6,35,35,16,4,11,55,38,9,5,8,4,1,36,110,108,17,1,0,0,0,17,122,73,27,12,7,28,15,28,)
Descriptor #3: x=211.177 y=7.23844 descriptor=(10,1,0,0,0,10,29,8,107,15,10,11,1,5,6,53,51,28,102,107,11,0,5,46,22,10,66,71,3,3,8,88,7,10,11,1,4,62,107,17,46,12,40,68,71,69,42,26,107,38,40,65,18,7,13,75,44,18,15,25,8,23,38,78,17,77,50,5,9,9,12,8,14,25,14,28,107,107,33,19,107,57,9,7,19,56,43,42,24,43,56,76,9,7,21,8,73,18,7,0,5,16,11,92,36,6,5,16,56,87,32,70,34,11,10,32,79,57,32,47,29,8,7,40,52,9,14,30,)
Descriptor #4: x=211.177 y=7.23844 descriptor=(16,18,18,5,3,7,57,64,53,26,22,50,33,19,13,29,77,46,38,67,10,8,24,48,89,47,33,99,8,2,6,19,10,22,27,28,38,23,73,32,17,30,24,97,110,34,16,6,110,72,33,33,13,12,10,50,24,10,24,61,37,49,8,13,8,15,86,97,15,9,62,21,11,5,24,80,61,29,106,58,110,93,24,29,17,16,47,55,12,48,29,4,27,60,19,3,2,1,8,51,17,25,110,49,0,0,4,110,72,31,56,23,7,51,26,61,21,1,3,0,3,43,44,1,0,2,1,0,)
Descriptor #5: x=216.62 y=7.56461 descriptor=(1,4,27,34,23,55,48,6,77,45,46,13,8,49,40,26,43,12,7,14,11,105,15,12,0,0,0,4,9,63,19,1,46,5,6,10,11,49,80,30,48,23,7,13,107,114,43,11,130,41,1,2,17,73,48,70,8,1,0,0,31,130,54,21,95,35,13,29,23,27,10,16,39,4,12,17,121,97,17,20,130,27,4,1,28,37,6,62,31,12,9,1,19,130,32,7,93,40,26,33,12,21,7,12,22,37,33,21,37,42,14,22,105,52,13,1,9,11,4,39,32,56,22,0,0,6,6,6,)
Descriptor #6: x=298.413 y=7.54659 descriptor=(2,7,7,97,120,29,0,0,103,68,7,23,61,19,4,12,61,65,7,2,4,34,21,24,85,42,7,8,3,14,15,12,1,0,6,57,120,120,46,1,58,34,0,2,56,120,32,10,120,79,6,11,12,18,9,39,51,47,21,31,26,19,3,5,0,7,45,69,84,40,37,2,10,7,18,24,95,114,64,18,70,54,52,24,40,44,22,42,13,18,48,71,40,17,2,4,2,20,30,37,49,47,9,1,5,16,66,79,35,14,6,4,8,18,38,22,23,17,3,5,1,5,19,87,67,6,2,4,)
Descriptor #7: x=298.413 y=7.54659 descriptor=(5,0,1,34,33,27,74,68,12,1,1,9,22,56,82,45,15,4,6,8,24,38,23,28,3,0,1,8,19,53,30,12,15,4,3,57,51,23,31,20,37,17,69,110,46,27,22,37,85,48,25,35,27,42,34,66,20,11,5,4,22,71,81,37,39,24,20,48,59,8,5,6,58,15,19,116,105,2,0,8,116,51,11,11,2,0,11,116,27,24,3,1,18,63,80,87,15,10,39,58,38,25,16,7,48,6,4,75,48,6,46,116,116,31,1,2,0,5,72,116,35,54,1,1,1,16,41,18,)
Descriptor #8: x=423.902 y=7.62714 descriptor=(0,0,0,0,0,13,62,22,3,0,0,0,0,6,118,64,11,1,0,0,1,6,118,118,1,0,3,8,22,25,107,62,7,2,0,2,12,6,65,50,40,16,6,11,4,16,75,46,118,33,3,1,3,25,47,73,17,3,4,9,63,118,24,17,27,5,2,6,29,60,50,41,60,25,1,2,2,84,101,70,118,31,26,21,10,41,58,35,10,10,74,63,31,26,2,2,8,16,49,44,11,25,16,5,37,101,52,20,3,11,18,9,10,21,82,118,42,14,28,8,3,3,118,67,5,3,2,4,)
Descriptor #9: x=347.061 y=8.87068 descriptor=(11,5,10,20,9,7,31,52,11,7,15,26,8,17,28,24,60,45,16,11,2,4,6,15,80,95,47,9,0,1,2,17,7,17,35,84,31,7,11,7,14,31,83,116,18,7,4,5,119,48,33,31,2,1,2,28,88,27,15,8,1,10,33,35,6,1,6,35,29,32,12,35,18,2,4,18,38,58,119,93,119,68,6,11,39,28,44,34,101,59,10,4,0,1,16,50,53,8,10,8,11,42,6,39,89,9,1,10,119,45,44,87,119,36,4,20,119,26,7,0,119,66,7,0,0,2,3,28,)
Descriptor #10: x=399.01 y=11.3645 descriptor=(123,10,7,23,21,6,16,77,54,37,12,35,25,9,21,32,32,9,1,28,52,17,0,10,5,10,9,95,103,36,0,0,93,73,53,52,26,1,1,4,123,43,24,54,30,0,0,31,69,9,10,18,49,71,19,17,11,4,8,59,104,123,27,12,21,23,40,18,21,7,2,11,123,39,15,10,4,0,0,54,60,15,89,83,38,26,9,8,1,2,123,83,32,80,18,4,50,5,1,10,33,8,1,20,123,0,0,1,8,1,0,70,20,0,9,35,54,58,25,5,0,1,22,48,34,69,22,2,)
Descriptor #11: x=230.748 y=13.0247 descriptor=(28,57,8,0,2,17,47,19,25,73,50,0,0,3,16,35,6,78,81,15,6,22,23,14,20,124,56,6,2,6,6,4,43,26,30,91,75,71,70,45,124,19,3,17,21,21,33,97,20,3,3,33,68,91,53,33,13,35,24,22,14,17,14,8,51,32,42,93,42,62,18,18,124,77,15,39,18,10,3,16,35,20,13,122,124,18,15,7,28,35,10,13,22,19,16,15,20,20,49,55,30,16,4,7,122,85,14,20,10,4,2,50,26,29,34,44,33,23,29,25,53,21,8,12,25,21,9,63,)
Descriptor #12: x=354.895 y=12.9705 descriptor=(9,1,0,8,91,20,1,5,15,1,0,4,26,64,8,19,73,0,0,2,19,21,39,118,22,9,1,13,132,38,32,12,9,12,26,92,81,3,0,1,39,29,68,51,19,13,1,6,132,78,18,21,37,20,8,38,39,9,6,46,132,34,4,5,0,1,16,64,17,33,20,0,65,7,16,23,16,30,8,33,132,41,13,21,31,24,20,105,20,13,8,50,132,49,10,6,0,1,8,9,11,35,21,2,56,9,1,3,22,43,13,18,132,34,7,24,33,24,11,51,3,5,4,51,132,68,10,4,)
Descriptor #13: x=304.646 y=13.7918 descriptor=(20,15,10,16,35,46,17,23,22,11,16,21,17,22,33,38,58,12,3,3,7,23,132,67,4,2,0,0,5,18,85,84,17,53,72,38,9,9,6,20,66,39,39,59,29,24,8,12,134,60,6,2,1,8,24,71,16,5,1,6,20,83,67,73,97,30,5,1,3,17,14,67,53,8,1,3,27,110,45,47,134,50,13,1,0,6,14,71,25,63,41,81,26,14,8,19,107,47,1,0,1,3,1,8,37,21,16,10,7,17,5,6,134,36,20,36,4,2,2,7,4,22,99,129,18,0,0,0,)
Descriptor #14: x=270.619 y=14.8341 descriptor=(95,43,43,9,3,14,5,20,15,51,47,8,3,22,47,22,39,28,2,1,94,23,15,45,6,0,0,9,115,21,0,3,37,18,42,29,16,11,37,28,19,115,72,7,1,40,72,21,115,115,12,1,97,27,5,18,22,1,0,4,115,54,5,11,93,15,0,0,1,6,42,67,43,36,2,0,6,115,106,63,114,13,10,16,65,51,31,103,17,0,2,19,115,40,2,16,79,28,2,2,0,0,3,13,48,56,3,1,8,13,10,25,10,7,24,44,50,26,5,10,18,1,5,43,76,7,0,5,)
Descriptor #15: x=270.619 y=14.8341 descriptor=(4,6,39,18,0,0,12,49,4,5,26,6,0,0,44,119,3,2,19,6,6,36,115,81,27,5,0,1,1,10,27,67,2,2,5,16,6,1,77,119,10,9,87,119,34,0,22,119,87,52,111,41,13,11,11,37,17,15,22,53,22,5,4,17,8,35,64,39,21,1,10,48,30,18,15,88,119,14,2,3,119,119,48,33,26,3,1,23,7,14,42,87,28,3,1,3,62,52,20,12,10,8,3,20,14,8,19,40,84,77,13,6,20,51,37,38,13,22,22,10,5,19,81,81,0,0,0,0,)
Descriptor #16: x=231.238 y=16.8324 descriptor=(19,7,1,5,53,55,29,41,31,29,1,5,17,41,108,67,42,53,20,1,10,19,24,40,8,49,33,5,4,22,28,25,56,42,10,18,81,24,8,35,72,70,83,118,56,56,53,65,118,19,11,59,36,25,17,66,49,4,3,42,63,56,31,36,42,22,6,7,83,56,6,18,59,46,62,68,50,65,24,31,118,77,19,39,22,19,2,20,47,26,17,97,58,14,16,8,14,13,8,5,62,60,5,6,11,13,47,44,53,18,11,20,111,37,12,16,14,2,8,103,20,25,32,28,33,12,14,25,)
Descriptor #17: x=394.49 y=17.4447 descriptor=(53,42,38,4,14,43,66,27,50,45,14,28,78,52,19,6,17,6,6,24,66,27,18,11,116,15,0,0,10,9,10,34,19,49,16,19,116,86,35,23,34,58,107,100,95,16,5,2,116,21,20,42,25,13,40,76,69,24,8,10,18,11,40,53,7,88,62,58,116,19,6,2,26,4,25,27,74,62,48,10,116,97,17,27,38,6,15,31,85,66,25,47,72,2,1,4,1,14,15,7,8,14,51,16,2,1,1,7,61,28,13,8,16,45,27,17,16,19,6,5,80,50,30,30,9,1,0,6,)
Descriptor #18: x=407.354 y=17.819 descriptor=(6,21,14,8,19,12,48,21,31,37,20,9,3,9,42,37,117,14,7,5,3,14,38,25,89,3,0,16,114,12,0,10,12,8,4,8,118,71,41,13,118,47,6,5,27,26,28,66,100,24,5,7,50,85,31,21,84,32,15,39,118,3,0,1,7,2,0,22,118,24,2,4,118,118,20,10,37,12,3,17,30,74,71,98,48,28,2,4,32,50,36,43,47,16,16,5,1,0,0,37,118,2,0,0,82,25,4,9,28,6,2,17,43,20,14,29,75,20,4,24,81,15,2,2,4,3,8,41,)
Descriptor #19: x=443.201 y=18.7933 descriptor=(0,0,120,120,14,12,20,6,13,41,114,116,14,19,16,12,62,120,63,1,0,1,12,36,29,108,120,118,31,9,3,3,4,4,25,63,16,24,41,38,33,17,10,24,25,55,46,26,86,69,21,7,1,5,23,64,40,20,14,16,73,73,11,16,14,12,12,14,23,11,31,43,15,11,13,25,51,69,58,25,75,62,24,9,12,10,23,46,57,45,23,14,24,30,16,19,13,16,14,8,4,1,2,13,5,6,16,19,18,5,48,50,6,10,5,1,4,4,120,64,70,7,4,1,0,5,120,55,)
Descriptor #20: x=486.071 y=19.226 descriptor=(7,24,8,7,20,43,14,0,9,16,24,33,2,1,3,15,18,0,4,18,2,2,86,115,4,0,0,1,3,62,129,30,0,2,16,41,28,18,26,3,59,8,3,2,0,2,35,27,129,56,2,1,0,1,37,118,23,19,6,7,36,73,66,24,4,0,1,1,0,2,129,46,13,1,0,0,0,8,129,98,121,24,1,0,1,24,121,78,28,22,13,4,11,12,11,12,55,1,0,0,1,21,111,89,29,3,2,20,20,28,129,113,5,5,2,50,65,54,65,15,12,13,1,1,1,1,12,16,)
Descriptor #21: x=486.071 y=19.226 descriptor=(115,15,0,1,10,7,3,51,134,41,25,10,4,7,32,110,5,6,35,18,10,9,33,19,32,12,9,7,3,2,2,4,63,62,6,1,25,27,0,1,66,135,135,11,1,0,0,1,89,90,135,14,1,0,2,31,39,14,11,6,3,35,33,50,4,6,10,26,21,12,5,6,57,25,38,2,3,2,1,12,135,53,11,0,0,0,1,65,113,64,15,3,9,65,39,56,12,0,4,4,19,43,58,72,70,1,0,3,28,30,10,20,135,42,3,0,0,0,0,49,81,62,24,4,2,1,8,50,)
Descriptor #22: x=338.728 y=19.9246 descriptor=(6,10,46,21,3,8,73,41,48,24,32,8,5,7,33,120,18,1,3,15,42,22,19,69,21,2,0,3,9,17,73,120,34,38,68,37,8,13,56,56,34,71,114,25,12,14,22,64,120,27,52,16,16,7,9,88,65,19,6,0,0,0,12,120,71,26,29,8,15,12,26,41,72,14,16,25,69,20,12,38,120,50,9,1,8,0,1,54,90,48,38,18,0,0,1,36,36,8,3,20,45,19,72,68,34,0,0,22,55,8,20,115,69,5,0,9,4,0,11,120,16,10,23,74,25,0,3,17,)
Descriptor #23: x=498.141 y=19.7875 descriptor=(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,2,6,13,0,3,2,4,2,0,0,0,25,3,1,6,28,10,0,2,117,6,0,0,9,109,54,49,48,18,1,2,46,142,41,32,14,53,59,23,3,0,0,0,43,10,35,47,41,11,2,15,142,142,4,0,41,78,29,64,77,66,8,5,142,142,16,16,4,15,21,1,1,9,27,14,46,11,9,2,7,9,42,38,59,142,28,9,40,20,6,5,20,126,66,71,142,29,0,1,)
Descriptor #24: x=13.3928 y=21.581 descriptor=(23,24,4,0,0,0,11,43,82,17,1,0,0,1,45,114,94,26,21,29,15,10,20,52,25,39,16,24,29,11,4,7,73,27,6,1,0,3,1,9,134,24,2,0,1,18,27,121,26,7,8,15,27,132,77,44,57,6,4,5,3,17,53,102,88,21,3,7,7,5,0,2,134,134,17,1,1,3,2,15,33,106,36,14,49,46,10,4,123,61,2,1,20,16,9,33,46,5,0,2,7,8,1,8,134,69,4,0,0,0,0,11,117,71,6,1,9,5,0,12,28,39,4,1,27,12,0,3,)
Descriptor #25: x=170.912 y=22.9505 descriptor=(22,0,0,0,0,0,14,71,13,0,0,10,42,54,49,37,129,3,1,8,35,24,11,89,62,3,1,21,63,19,39,62,56,19,17,10,1,0,1,45,51,14,28,129,68,17,8,30,129,23,6,31,29,12,6,102,54,7,3,28,123,9,1,28,9,19,35,20,17,13,5,6,41,27,52,74,34,8,8,17,129,33,15,31,8,0,4,32,33,9,37,129,104,0,0,0,10,2,12,48,27,9,2,10,66,29,21,54,43,5,0,1,129,33,19,52,44,5,0,2,2,1,38,129,52,20,12,3,)
Descriptor #26: x=387.816 y=22.7212 descriptor=(41,64,10,25,60,7,0,3,14,4,1,25,71,14,8,31,8,4,0,0,0,8,69,40,0,0,0,0,1,6,57,31,43,25,3,3,38,60,36,115,26,31,13,6,91,98,4,12,115,46,8,0,6,10,32,71,10,0,2,25,79,49,37,30,12,10,101,65,31,39,22,80,23,2,21,71,115,87,27,25,115,57,26,16,22,13,27,55,22,19,39,88,115,20,5,9,39,32,114,38,3,0,3,22,17,12,51,33,10,3,53,83,13,10,36,96,43,12,39,26,1,3,54,84,23,4,3,0,)
Descriptor #27: x=353.373 y=24.152 descriptor=(1,21,83,3,1,0,13,3,3,14,74,22,6,8,25,10,2,1,15,21,21,39,24,4,14,28,8,4,3,5,14,19,21,18,43,4,9,64,53,9,116,25,26,3,1,10,80,116,12,6,8,26,67,116,116,36,25,70,13,14,73,66,4,1,15,0,5,9,83,116,68,8,116,85,29,10,9,28,54,52,20,34,58,116,97,52,32,8,8,32,6,62,116,59,44,0,0,44,77,13,23,17,17,3,5,40,47,3,1,10,63,15,0,6,48,38,12,35,51,1,0,3,22,14,21,74,69,0,)
Descriptor #28: x=433.99 y=24.0098 descriptor=(17,19,55,11,2,5,9,8,128,34,6,0,1,6,46,111,17,2,3,5,1,38,128,38,3,2,2,0,0,2,83,58,42,13,29,4,1,6,50,44,128,39,4,6,8,0,7,88,47,21,55,106,63,9,12,9,10,128,80,18,3,1,19,15,76,10,0,3,4,1,9,24,128,72,14,24,9,0,1,21,17,29,28,128,128,0,0,0,34,128,44,27,18,0,0,0,67,6,3,2,0,0,3,40,90,14,3,7,9,4,1,17,5,4,3,33,68,60,16,1,4,27,26,9,12,55,23,0,)
Descriptor #29: x=55.6415 y=24.7054 descriptor=(10,9,26,6,0,2,3,3,7,3,5,19,19,28,7,4,78,11,2,4,4,6,1,19,71,39,59,32,4,0,0,11,27,16,4,1,3,3,19,32,20,11,6,48,48,18,9,12,102,16,3,12,8,7,3,34,15,5,14,6,7,31,21,14,15,67,38,13,4,1,8,14,22,8,30,76,48,3,15,20,152,8,1,5,3,0,43,89,27,0,0,1,25,30,72,92,21,7,8,2,0,1,25,40,33,0,7,8,0,1,117,152,63,1,1,20,22,18,152,152,2,0,0,64,152,61,152,69,)
Descriptor #30: x=380.318 y=23.8604 descriptor=(12,88,20,2,8,47,8,2,110,110,9,7,6,22,16,69,31,68,25,35,75,110,37,22,21,81,39,14,33,28,23,5,7,14,0,3,20,110,96,27,110,110,10,5,12,46,35,46,36,47,36,104,46,14,5,5,16,24,16,57,38,9,8,16,28,5,20,110,55,32,34,50,79,25,14,80,47,23,11,24,37,12,21,110,17,4,6,15,26,16,16,20,17,11,19,34,9,3,20,60,17,7,19,29,29,4,9,51,50,30,28,44,65,5,7,49,29,9,16,105,29,23,13,85,55,11,15,21,)
